Rank	Word	Frequency	Length
6231	VIGOR	9715.92	5
6232	DEVOTE	9715.13	6
6235	YOKE	9700.1	4
6241	LAYS	9684.27	4
6244	MARE	9677.94	4
6247	SAGE	9673.2	4
6249	PAYS	9671.62	4
6250	SLEEPY	9669.24	6
6251	DUBLIN	9662.91	6
6254	THEY'D	9661.33	6
6256	MASON	9655	5
6260	FOSTER	9648.67	6
6262	EXPOSE	9647.09	6
6263	OXEN	9647.09	4
6264	PATCH	9647.09	5
6266	STUART	9643.13	6
6268	LANCE	9641.55	5
6272	THUMB	9636.81	5
6273	WOLVES	9635.22	6
6274	HAMMER	9632.06	6
6283	SALES	9616.24	5
6287	WE'D	9602	4
6289	TRAINS	9591.71	6
6290	SKIRTS	9590.13	6
6293	KICK	9588.55	4
6294	TENDED	9586.17	6
6298	SKULL	9575.89	5
6300	NESS	9573.51	4
6301	THREAT	9571.93	6
6305	JUNGLE	9567.19	6
6306	GHOSTS	9566.39	6
6308	FAMINE	9559.27	6
6313	FULLER	9540.29	6
6315	BLOCKS	9531.58	6
6316	DARTED	9526.05	6
6317	SHRINE	9524.46	6
6318	HEEL	9522.88	4
6320	THROWS	9516.55	6
6323	FUEL	9511.01	4
6326	FROWN	9501.52	5
6328	PLUNGE	9494.4	6
6329	MOOR	9488.86	4
6331	MARS	9484.91	4
6334	OWEN	9480.95	4
6335	10TH	9480.16	4
6336	ARABIC	9478.58	6
6338	FRAMED	9477.79	6
6345	JAWS	9458.8	4
6346	PATENT	9458.8	6
6348	GULF	9449.31	4
6352	CLOSET	9429.53	6
6353	COMPEL	9427.15	6
6354	INLAND	9426.36	6
6359	RASH	9408.17	4
6360	MARGIN	9401.05	6
6367	MORGAN	9390.76	6
6368	NICK	9390.76	4
6382	PULSE	9367.03	5
6383	SCANTY	9367.03	6
6384	FLEE	9364.65	4
6386	CLAUSE	9360.7	6
6387	RESUME	9359.12	6
6389	PILOT	9353.58	5
6394	KNOT	9335.38	4
6395	RAGS	9329.85	4
6396	MOCK	9320.35	4
6401	CLARE	9310.07	5
6403	SKIRT	9308.48	5
6404	AGENCY	9303.74	6
6405	ARISEN	9302.95	6
6406	GRIN	9301.36	4
6409	HOARSE	9296.62	6
6410	MILLS	9286.33	5
6412	DINING	9281.59	6
6415	LAIN	9276.84	4
6418	WEEKLY	9268.14	6
6422	AIMED	9253.1	5
6423	BORROW	9253.1	6
6427	SCOPE	9245.98	5
6434	SALUTE	9238.07	6
6435	TOPIC	9237.28	5
6437	SUPERB	9231.74	6
6440	CROW	9227.79	4
6441	SHAWL	9226.21	5
6443	SINGS	9224.62	5
6444	COATS	9220.67	5
6445	STURDY	9219.88	6
6451	STRODE	9215.13	6
6455	HONORS	9198.52	6
6461	HOOK	9183.49	4
6464	AIRS	9165.29	4
6465	TIGER	9165.29	5
6475	RECTOR	9139.18	6
6476	SPARK	9135.23	5
6477	SLEEVE	9132.06	6
6479	TAME	9124.94	4
6482	EDMUND	9118.61	6
6490	ALLY	9090.92	4
6492	ASCENT	9086.18	6
6493	DITCH	9084.59	5
6494	FISHES	9083.8	6
6497	TRACT	9069.56	5
6499	AFORE	9064.02	5
6500	RIBBON	9063.23	6
6502	OREGON	9057.69	6
6504	PLUS	9051.37	4
6506	FARMS	9043.45	5
6507	PULPIT	9036.33	6
6508	ROPES	9034.75	5
6514	HOUNDS	9028.42	6
6516	BOTHER	9022.88	6
6520	ESSAY	9014.97	5
6521	RAINS	9014.97	5
6522	RENEW	9014.18	5
6523	ODIOUS	9011.81	6
6526	RIDER	8996.78	5
6528	POND	8992.03	4
6533	BOWING	8977.79	6
6535	WRIST	8971.46	5
6536	KEEPER	8968.3	6
6539	FINELY	8962.76	6
6542	MARVEL	8956.43	6
6544	AGNES	8951.68	5
6549	ELDERS	8942.98	6
6550	JULIAN	8942.98	6
6551	TRIES	8942.98	5
6555	BAGS	8936.65	4
6556	REARED	8932.7	6
6558	UNIQUE	8931.9	6
6562	SECT	8927.16	4
6563	DRUM	8923.2	4
6564	POLES	8921.62	5
6565	VERGE	8918.46	5
6580	WITHAL	8870.2	6
6583	ADJ.	8846.46	4
6585	WEIGH	8841.71	5
6587	FLOAT	8839.34	5
6588	CONSUL	8837.76	6
6590	RAGING	8836.18	6
6595	AARON	8828.27	5
6600	TROY	8825.1	4
6601	MIRIAM	8824.31	6
6602	JUDAH	8823.52	5
6603	OBLIGE	8822.73	6
6604	URGING	8816.4	6
6605	SHIFT	8810.86	5
6606	MOULD	8808.49	5
6610	HYMN	8797.41	4
6614	PARKER	8791.87	6
6617	COMIC	8780.8	5
6621	FACTOR	8772.1	6
6626	SALOON	8754.69	6
6628	WITCH	8748.36	5
6631	SEAMEN	8745.99	6
6632	BACKED	8744.41	6
6635	POMP	8737.29	4
6636	MESS	8735.7	4
6640	CASUAL	8732.54	6
6641	IOWA	8732.54	4
6644	BORED	8723.84	5
6645	SHRINK	8723.84	6
6652	STUDIO	8712.76	6
6654	CRUDE	8705.64	5
6658	ASCEND	8689.03	6
6660	APOLLO	8688.23	6
6663	EXCEED	8677.95	6
6664	FRAIL	8677.16	5
6665	HANS	8676.37	4
6668	CARTER	8670.83	6
6669	MULE	8667.67	4
6671	PARSON	8666.08	6
6672	RASCAL	8664.5	6
6674	BANNER	8657.38	6
6679	WEAKER	8650.26	6
6681	BOLT	8646.3	4
6682	TICKET	8643.14	6
6685	LAME	8640.77	4
6687	VEIN	8636.02	4
6688	LISTS	8625.74	5
6689	GALLOP	8624.94	6
6691	DAGGER	8619.41	6
6693	SHOE	8618.62	4
6694	THRICE	8613.08	6
6696	MYSTIC	8605.17	6
6698	FOAM	8600.42	4
6699	KEITH	8600.42	5
6700	TAVERN	8599.63	6
6701	FRAUD	8597.25	5
6703	CRADLE	8594.09	6
6704	RIFLES	8589.34	6
6715	CATS	8564.82	4
6716	BLAMED	8563.24	6
6719	GRAVEL	8560.86	6
6725	CLERKS	8551.37	6
6727	MOIST	8549	5
6729	SAUCE	8543.46	5
6733	WRIT	8527.63	4
6734	BRUCE	8526.84	5
6740	FEWER	8517.35	5
6741	DEEM	8515.77	4
6742	APRON	8513.39	5
6745	ROLLS	8511.81	5
6747	ROTTEN	8507.86	6
6748	RICHER	8505.48	6
6749	SWISS	8505.48	5
6753	LOAN	8497.57	4
6754	BEADS	8494.41	5
6755	DIVERS	8493.62	6
6758	LUST	8484.12	4
6761	DETACH	8478.58	6
6762	GAILY	8477	5
6763	SHARES	8477	6
6764	GIFTED	8473.05	6
6765	PLANET	8473.05	6
6768	SAUL	8464.34	4
6772	SHELF	8451.69	5
6774	FLUID	8449.31	5
6776	DAMSEL	8448.52	6
6780	NEATLY	8441.4	6
6781	ANON	8435.86	4
6783	INSANE	8435.07	6
6786	MILAN	8429.53	5
6789	PHASE	8427.16	5
6798	TURF	8408.17	4
6799	POLAND	8407.38	6
6800	DAME	8406.59	4
6802	ORATOR	8405.01	6
6812	CLUBS	8383.65	5
6822	DANCES	8374.15	6
6828	DAISY	8364.66	5
6831	CREEP	8352.79	5
6836	GUIDES	8340.93	6
6838	PARCEL	8337.76	6
6841	DRAWER	8335.39	6
6846	LINK	8325.1	4
6847	HOMELY	8321.94	6
6848	PLUCK	8321.94	5
6849	RULING	8317.19	6
6852	HANNAH	8310.86	6
6854	JOSHUA	8309.28	6
6861	BRIDLE	8296.62	6
6874	MOSS	8266.56	4
6879	GOTHIC	8257.07	6
6885	EXPEND	8249.16	6
6887	JULIUS	8242.83	6
6888	RESIGN	8237.29	6
6891	REJECT	8233.33	6
6892	TOUGH	8230.17	5
6893	PLEA	8228.59	4
6896	LACKED	8227	6
6899	DARKER	8222.26	6
6901	NEVADA	8222.26	6
6903	FORK	8219.88	4
6908	STAIN	8209.6	5
6910	HINTS	8203.27	5
6912	DRINKS	8197.73	6
6914	BURIAL	8196.15	6
6915	MATT	8196.15	4
6919	STEED	8191.4	5
6920	WIDTH	8189.82	5
6921	SWEDEN	8187.45	6
6924	DEVOUT	8181.91	6
6926	VARY	8179.54	4
6928	ROUSE	8175.58	5
6930	SIDNEY	8168.46	6
6933	OFFEND	8161.34	6
6937	VENT	8145.52	4
6939	VINES	8144.73	5
6940	FLAGS	8142.35	5
6943	AUSTIN	8135.23	6
6944	NOBLER	8132.07	6
6947	PACKET	8112.29	6
6948	SHABBY	8111.5	6
6950	DAKOTA	8107.54	6
6953	RANCH	8102.8	5
6958	ACCUSE	8092.51	6
6965	IDOL	8071.94	4
6966	ODDS	8071.94	4
6967	AIMS	8067.99	4
6975	PIGS	8055.33	4
6976	CHOIR	8053.74	5
6980	VERB	8049	4
6981	MONKEY	8046.62	6
6988	HAZARD	8041.09	6
6989	DORA	8040.3	4
6991	STEAD	8037.92	5
6992	ATTIRE	8037.13	6
6993	FLING	8036.34	5
6994	MARINE	8034.76	6
6998	SINGER	8028.43	6
6999	SPACES	8027.64	6
7005	DOVE	8015.77	4
7007	SYDNEY	8011.81	6
7009	ALIEN	8002.32	5
7010	SORELY	8002.32	6
7013	SUMMON	7991.25	6
7015	SEXES	7988.87	5
7018	IRONY	7987.29	5
7025	SOMBRE	7969.88	6
7028	12TH	7956.44	4
7029	DUEL	7956.44	4
7032	CABLE	7954.85	5
7033	RIDDEN	7949.32	6
7034	ACRE	7948.52	4
7035	GRIEVE	7945.36	6
7043	GILDED	7935.87	6
7044	CLUMSY	7935.07	6
7045	SATIN	7931.12	5
7047	ODOR	7927.16	4
7050	HUDSON	7919.25	6
7051	FEUDAL	7916.09	6
7052	FLINT	7908.97	5
7053	EASTER	7908.18	6
7064	SINFUL	7890.77	6
7066	EUGENE	7886.02	6
7069	ABRUPT	7882.86	6
7071	INJURE	7877.32	6
7075	ADORED	7871.78	6
7078	PILLAR	7870.2	6
7079	IMPORT	7867.83	6
7081	TORCH	7862.29	5
7082	VAULT	7862.29	5
7083	WORM	7862.29	4
7088	BUTLER	7844.89	6
7089	RATTLE	7844.89	6
7092	EDIT	7840.93	4
7093	GOTTEN	7839.35	6
7094	CUTS	7838.56	4
7096	OUTFIT	7836.18	6
7101	EIGHTH	7816.4	6
7102	VALOUR	7815.61	6
7107	KNIVES	7802.16	6
7113	MUDDY	7794.25	5
7114	ARCHES	7793.46	6
7116	SENIOR	7788.71	6
7122	YACHT	7776.85	5
7124	STRAY	7772.89	5
7126	JENNY	7771.31	5
7128	TENDS	7767.35	5
7135	TUTOR	7761.82	5
7137	WELSH	7757.07	5
7138	GAIETY	7756.28	6
7142	SWAM	7749.95	4
7144	SLID	7743.62	4
7145	STONY	7742.83	5
7146	DONALD	7741.25	6
7150	MABEL	7739.66	5
7151	DEMON	7734.92	5
7156	COCK	7727.8	4
7160	SICILY	7724.63	6
7164	UTAH	7719.89	4
7166	LUMP	7714.35	4
7171	DOME	7709.6	4
7175	DARWIN	7706.44	6
7177	FIXING	7703.27	6
7178	HARRIS	7703.27	6
7179	RUSTIC	7703.27	6
7181	VERNON	7696.94	6
7185	SNOWY	7681.91	5
7186	CURVED	7680.33	6
7195	DRIVES	7668.46	6
7196	JEROME	7667.67	6
7200	ALPS	7661.34	4
7203	MUSCLE	7655.8	6
7204	MADRID	7655.01	6
7208	SPEEDY	7651.06	6
7210	MARIAN	7648.68	6
7211	HARP	7647.89	4
7212	PEAKS	7643.94	5
7218	CORAL	7636.03	5
7219	GRAPES	7634.44	6
7224	BEANS	7620.99	5
7229	NAIL	7605.17	4
7238	RUSHES	7588.56	6
7247	TACT	7574.32	4
7251	TOAST	7564.03	5
7253	JUDITH	7561.66	6
7255	VIRGIL	7559.29	6
7259	SUNDRY	7550.58	6
7261	MOUSE	7544.25	5
7263	HELM	7541.09	4
7264	SLIM	7541.09	4
7269	LIME	7535.55	4
7270	SPUR	7534.76	4
7271	UNFIT	7532.39	5
7272	GEN.	7531.6	4
7273	RELISH	7529.22	6
7275	SOWN	7526.06	4
7278	HUSH	7520.52	4
7287	BELLY	7509.44	5
7295	VINE	7496	4
7298	HARVEY	7489.67	6
7302	POTS	7482.55	4
7304	ABUSED	7479.38	6
7305	ARMOR	7478.59	5
7306	DETECT	7478.59	6
7308	BANKER	7468.31	6
7312	CRUST	7456.44	5
7315	NORWAY	7451.69	6
7317	STING	7450.9	5
7320	CONG.	7444.57	5
7327	JORDAN	7435.08	6
7334	COASTS	7424	6
7335	STARVE	7419.26	6
7337	SCOTS	7415.3	5
7340	GOAT	7406.6	4
7342	TAILOR	7406.6	6
7347	SOUR	7393.15	4
7355	TOPICS	7380.49	6
7359	PARADE	7374.95	6
7360	SPOILS	7374.95	6
7361	HELMET	7365.46	6
7364	IMPOSE	7363.88	6
7368	WOODED	7356.76	6
7371	VALET	7349.64	5
7373	CARL	7346.47	4
7375	LYDIA	7344.1	5
7378	RAVINE	7340.93	6
7382	BOYISH	7331.44	6
7383	SPRAY	7329.07	5
7388	SPORTS	7324.32	6
7390	SCALES	7322.74	6
7393	CALF	7319.57	4
7394	MANUAL	7318.78	6
7396	POTENT	7317.2	6
7398	MELT	7314.83	4
7399	TILDE	7314.83	5
7400	THAMES	7314.03	6
7401	GRADE	7312.45	5
7403	PANG	7310.87	4
7404	PATHOS	7308.5	6
7406	BRISK	7305.33	5
7407	STOOL	7304.54	5
7411	SATIRE	7297.42	6
7413	DELETE	7294.26	6
7415	SPIES	7291.88	5
7418	YELL	7281.6	4
7420	BOOT	7279.22	4
7425	GOOSE	7263.4	5
7427	TRUCE	7261.82	5
7428	LASTLY	7260.24	6
7429	AIRY	7254.7	4
7431	GROVES	7253.91	6
7432	COL.	7253.12	4
7433	11TH	7250.74	4
7435	CLING	7247.58	5
7436	DUCK	7247.58	4
7437	ABYSS	7246.79	5
7438	ALASKA	7246.79	6
7445	WEIRD	7230.96	5
7448	ALAN	7228.59	4
7455	MALES	7219.1	5
7456	PAIRS	7218.31	5
7459	NICELY	7215.93	6
7460	LAPSE	7212.77	5
7462	SOAP	7208.02	4
7465	EYED	7205.65	4
7468	DOLL	7199.32	4
7477	NUTS	7182.71	4
7478	UNDONE	7181.12	6
7479	WRIGHT	7181.12	6
7481	HIDES	7177.96	5
7483	ROGERS	7170.05	6
7484	VILLA	7163.72	5
7489	SEWING	7154.22	6
7492	WALT	7141.57	4
7496	DUSKY	7134.45	5
7498	PEARL	7132.86	5
7500	GAINS	7127.33	5
7503	JOKES	7121.79	5
7505	QUOD	7121	4
7507	LAYER	7117.04	5
7508	CLUE	7116.25	4
7509	KETTLE	7115.46	6
7512	TOOTH	7109.13	5
7515	MATURE	7105.17	6
7516	CUBA	7098.05	4
7518	RABBIT	7095.68	6
7521	YANKEE	7091.73	6
7522	AWAKEN	7083.02	6
7523	CLASP	7083.02	5
7524	LETS	7080.65	4
7530	PLAYER	7072.74	6
7531	WIRES	7072.74	5
7533	WALKER	7062.45	6
7541	SHRIEK	7052.96	6
7542	FUTILE	7052.17	6
7544	DEITY	7051.38	5
7549	INSECT	7041.88	6
7550	VALUES	7039.51	6
7555	RHYME	7033.18	5
7560	YEARLY	7030.81	6
7561	BARON	7028.43	5
7563	IMPLY	7022.9	5
7567	VOWED	7014.99	5
7568	ATTACH	7011.82	6
7572	CAPS	7005.49	4
7573	LEON	7004.7	4
7576	BESET	7001.54	5
7578	SUITE	6997.58	5
7581	HEAPED	6992.04	6
7582	JEWEL	6992.04	5
7588	BABE	6973.85	4
7590	VIOLIN	6971.47	6
7591	ROGUE	6969.1	5
7592	RAINY	6968.31	5
7600	LUSTRE	6954.86	6
7601	HULL	6954.07	4
7604	UPROAR	6951.69	6
7605	CAVERN	6950.9	6
7608	MENACE	6946.95	6
7610	JEFF	6942.99	4
7611	PEAK	6942.2	4
7613	SILKEN	6941.41	6
7614	VIOLET	6939.83	6
7615	KHAN	6937.45	4
7619	LITTER	6926.38	6
7621	BIDS	6923.21	4
7622	FONDLY	6923.21	6
7624	TARIFF	6917.68	6
7631	DRAGON	6903.44	6
7632	ZEUS	6901.85	4
7633	MIKE	6899.48	4
7634	RANGES	6897.9	6
7638	TRAY	6894.73	4
7642	MOUND	6889.99	5
7644	FRENZY	6884.45	6
7651	ITEM	6875.75	4
7652	MOSCOW	6873.37	6
7656	LINGER	6869.42	6
7657	SHADY	6868.63	5
7660	MAST	6859.92	4
7661	CONFER	6859.13	6
7662	SOPHIA	6859.13	6
7664	PITIED	6852.01	6
7665	TWIST	6852.01	5
7670	WANTON	6846.47	6
7671	REPAY	6845.68	5
7675	GAUL	6841.73	4
7676	GROOM	6840.14	5
7677	SOLVE	6840.14	5
7678	GRASSY	6836.98	6
7679	TEMPT	6836.19	5
7681	WITTY	6836.19	5
7688	BOUNTY	6828.28	6
7690	RENOWN	6824.32	6
7692	FOWL	6820.37	4
7693	MAYOR	6818.78	5
7695	DEFY	6817.2	4
7699	BOSS	6814.83	4
7705	PILES	6805.33	5
7708	E.G.	6802.17	4
7709	PEER	6802.17	4
7714	REBUKE	6796.63	6
7716	CHEERS	6792.68	6
7717	IDIOT	6791.09	5
7719	MORBID	6790.3	6
7720	WRUNG	6787.93	5
7721	E-MAIL	6787.14	6
7723	GILT	6774.48	4
7726	STRAND	6761.82	6
7730	CIRCUS	6753.12	6
7737	BOON	6739.67	4
7740	BRINK	6734.13	5
7742	AVENGE	6731.76	6
7746	RIDGES	6729.39	6
7747	PERILS	6727.8	6
7748	LARRY	6725.43	5
7750	ALOOF	6721.47	5
7753	ASYLUM	6718.31	6
7755	PLACID	6718.31	6
7756	AFFIRM	6715.94	6
7757	TROD	6715.94	4
7763	TRENCH	6704.86	6
7764	FORE	6699.32	4
7769	CAIRO	6684.29	5
7770	MEND	6681.92	4
7777	EXERT	6672.42	5
7778	RIOT	6672.42	4
7782	MEEK	6666.09	4
7790	GARB	6655.02	4
7793	BACON	6649.48	5
7797	STRATA	6645.53	6
7798	HUSHED	6644.73	6
7807	FLAVOR	6628.12	6
7808	BRAND	6627.33	5
7811	DIPPED	6622.58	6
7815	FEEBLY	6618.63	6
7816	WOVEN	6617.84	5
7817	LLOYD	6617.04	5
7819	TOOL	6617.04	4
7822	CHAOS	6610.72	5
7833	DWARF	6592.52	5
7835	TURNER	6590.15	6
7840	FILTHY	6583.82	6
7845	PACED	6575.91	5
7846	TENSE	6575.91	5
7847	DRUMS	6573.53	5
7849	VANISH	6572.74	6
7850	ASTRAY	6571.16	6
7854	BAKED	6566.41	5
7856	BUSTLE	6565.62	6
7857	WINGED	6565.62	6
7860	FABRIC	6563.25	6
7861	TRIM	6563.25	4
7864	PATTY	6556.92	5
7870	LEDGE	6549.8	5
7871	ROAST	6549.8	5
7875	QUIVER	6537.93	6
7876	STOCKS	6537.93	6
7877	MOURN	6534.77	5
7882	JULIET	6526.86	6
7887	WIPE	6522.9	4
7890	DENIAL	6514.2	6
7892	TRAITS	6503.91	6
7894	ERIC	6503.12	4
7899	DIRE	6493.63	4
7901	GAIT	6492.84	4
7902	IT'LL	6492.05	5
7914	SNEER	6469.1	5
7917	PLUMP	6467.52	5
7919	PUREST	6463.56	6
7920	CHEAT	6462.77	5
7921	DOUBLY	6462.77	6
7923	LESLIE	6459.61	6
7924	BLEST	6458.82	5
7926	HAUNT	6454.07	5
7931	ENMITY	6449.32	6
7932	WATSON	6447.74	6
7934	CURATE	6445.37	6
7936	FROCK	6442.99	5
7937	MINING	6439.83	6
7940	MOTTO	6432.71	5
7953	RANSOM	6401.06	6
7957	SHIVER	6387.62	6
7961	PLOUGH	6382.87	6
7962	SNAKES	6381.29	6
7964	REEF	6380.5	4
7965	OUTSET	6379.7	6
7967	LAMENT	6378.91	6
7968	TISSUE	6378.12	6
7969	DRAFT	6377.33	5
7971	EPIC	6374.96	4
7973	HAWAII	6368.63	6
7976	LEMON	6367.05	5
7978	HOUND	6364.67	5
7981	ROBBER	6355.97	6
7983	IMPART	6355.18	6
7985	BARRY	6352.81	5
7986	GIRDLE	6352.01	6
7987	BASIL	6348.06	5
7989	STAIR	6346.48	5
7990	BITING	6344.89	6
7993	MANILA	6340.94	6
7995	COUGH	6338.57	5
7996	BLAZED	6337.77	6
7997	CLAUDE	6337.77	6
7999	BUTTON	6334.61	6
8001	TENANT	6331.44	6
8002	BURNS	6330.65	5
8004	DREAMY	6325.91	6
8007	UNKIND	6321.16	6
8015	ZONE	6308.5	4
8016	HUMANE	6306.92	6
8020	NINTH	6304.55	5
8021	CURSES	6303.76	6
8027	HEAL	6294.26	4
8029	KARL	6293.47	4
8031	STAID	6289.51	5
8036	GREEDY	6281.6	6
8043	ACHING	6273.69	6
8044	NINETY	6273.69	6
8048	BOBBY	6271.32	5
8056	DANISH	6252.33	6
8057	STEER	6251.54	5
8060	RANDOM	6249.17	6
8061	OUNCE	6248.38	5
8062	AFRESH	6246.79	6
8064	RUDDY	6239.67	5
8065	RUSTY	6239.67	5
8066	DROWN	6238.88	5
8067	IRVING	6238.09	6
8068	SLIDE	6238.09	5
8072	SICKLY	6234.14	6
8073	RIDES	6233.34	5
8074	SPOON	6233.34	5
8078	PINCH	6223.06	5
8080	DUCKS	6222.27	5
8081	DIARY	6219.1	5
8083	REGAIN	6218.31	6
8097	BLUFF	6205.65	5
8098	DAWNED	6205.65	6
8099	AMISS	6204.86	5
8100	CHALK	6203.28	5
8102	FUSS	6200.91	4
8103	DAZED	6199.33	5
8104	DEPUTY	6199.33	6
8112	EDEN	6189.04	4
8117	GORGE	6177.96	5
8119	DAMN	6174.01	4
8121	PASTOR	6171.64	6
8126	MUTTON	6167.68	6
8129	THEFT	6164.52	5
8132	OTTO	6158.98	4
8133	RATS	6158.98	4
8136	IRENE	6156.6	5
8140	ADORE	6153.44	5
8145	ORPHAN	6144.74	6
8151	FLOODS	6139.2	6
8163	REVIVE	6126.54	6
8164	PRONE	6123.38	5
8174	TUNNEL	6109.14	6
8177	TWINS	6106.76	5
8179	PUZZLE	6103.6	6
8185	STOOP	6098.85	5
8188	RAFT	6095.69	4
8189	FADE	6094.9	4
8190	SOOTHE	6093.31	6
8191	PORK	6092.52	4
8196	LOAF	6086.19	4
8199	RUDELY	6075.12	6
8200	ISLE	6074.33	4
8203	FABLE	6071.95	5
8205	INDEX	6068	5
8206	GERARD	6066.41	6
8207	CIGARS	6065.62	6
8208	LIVER	6063.25	5
8211	ONTO	6056.13	4
8215	LIAR	6052.17	4
8218	UNIT	6043.47	4
8219	PAGAN	6042.68	5
8221	BRIG	6039.52	4
8224	SORDID	6031.6	6
8227	CHAT	6030.02	4
8229	MAPS	6028.44	4
8230	AMBER	6025.28	5
8231	TROT	6025.28	4
8232	HOWL	6021.32	4
8236	BRICKS	6017.36	6
8240	CECIL	6007.87	5
8246	SANE	6004.71	4
8247	WREATH	6003.92	6
8257	CORK	5991.26	4
8259	WHALE	5986.51	5
8260	WEDDED	5985.72	6
8264	PAVED	5982.55	5
8275	HARE	5973.06	4
8276	HAZE	5972.27	4
8278	OMIT	5969.9	4
8279	BEWARE	5969.11	6
8282	WORKER	5965.15	6
8285	CASTE	5960.4	5
8286	LEAPT	5960.4	5
8290	TOILET	5953.28	6
8291	BUDDHA	5951.7	6
8294	GENTRY	5950.91	6
8296	GRUDGE	5946.95	6
8298	TIPS	5946.16	4
8299	ROOTED	5944.58	6
8302	TURK	5939.04	4
8303	DEVOUR	5937.46	6
8312	ANNALS	5927.18	6
8315	RHYTHM	5918.47	6
8317	MARIUS	5912.93	6
8319	ARCHIE	5905.02	6
8321	KNIT	5902.65	4
8323	DETAIN	5901.07	6
8328	SODA	5897.9	4
8330	SALON	5893.16	5
8332	IDLY	5889.99	4
8334	PERU	5889.2	4
8335	CANDID	5888.41	6
8336	WHIG	5888.41	4
8338	WHARF	5886.04	5
8342	DRAIN	5878.12	5
8343	WAGE	5878.12	4
8344	COOPER	5874.96	6
8347	NASTY	5872.59	5
8353	ABOUND	5864.68	6
8356	HUGO	5855.18	4
8357	ESSAYS	5854.39	6
8364	RESIDE	5844.11	6
8369	WADE	5839.36	4
8371	HAZEL	5836.19	5
8374	INVENT	5831.45	6
8375	KNAVE	5831.45	5
8376	TWAIN	5829.07	5
8380	CLIMAX	5820.37	6
8381	AVOWED	5816.42	6
8383	BROOD	5813.25	5
8385	DEFINE	5804.55	6
8390	PLIGHT	5800.59	6
8394	ALMS	5797.43	4
8400	DIGEST	5784.77	6
8401	VALE	5784.77	4
8404	WINK	5780.82	4
8405	NOUS	5775.28	4
8406	RACK	5775.28	4
8410	BARLEY	5764.2	6
8417	DEVISE	5740.47	6
8418	RUBBER	5738.89	6
8419	ADIEU	5738.09	5
8421	CARTS	5736.51	5
8422	LONE	5734.93	4
8423	WHISKY	5734.14	6
8424	ABUSES	5732.56	6
8427	COUNTS	5730.18	6
8430	HERMIT	5727.81	6
8435	SCREW	5723.85	5
8437	DIVERT	5719.9	6
8438	ELIZA	5719.9	5
8440	HOOD	5716.73	4
8442	GLOVE	5715.15	5
8443	CHASTE	5713.57	6
8444	WHIRL	5713.57	5
8450	PLANK	5700.91	5
8451	INSURE	5696.96	6
8456	LILIES	5688.25	6
8457	BALLAD	5685.88	6
8458	BEFALL	5683.51	6
8460	TEDDY	5676.39	5
8466	GENEVA	5662.94	6
8469	SEALS	5655.02	5
8472	KNOTS	5653.44	5
8473	WAIL	5650.28	4
8474	KNEEL	5647.11	5
8476	DECEIT	5643.95	6
8479	HERALD	5637.62	6
8480	LOWLY	5636.83	5
8481	PEEP	5636.83	4
8482	SWARM	5636.04	5
8483	CLARKE	5633.66	6
8487	BOWELS	5631.29	6
8494	MAXIM	5617.05	5
8497	BAKING	5613.09	6
8500	BUST	5609.93	4
8501	VISAGE	5609.93	6
8503	MINGLE	5609.14	6
8505	ARCHED	5606.77	6
8509	CLIENT	5601.23	6
8511	FURS	5600.44	4
8513	DOCK	5598.06	4
8514	TENOR	5598.06	5
8515	AROUSE	5597.27	6
8516	VERBAL	5592.53	6
8518	BRAZIL	5588.57	6
8521	RECESS	5582.24	6
8523	PSALMS	5580.66	6
8527	INFER	5578.28	5
8530	HAWK	5574.33	4
8531	REIN	5573.54	4
8533	BAKE	5572.75	4
8535	ORACLE	5571.96	6
8536	ALLEY	5568	5
8538	PIERCE	5565.63	6
8540	SNATCH	5563.25	6
8542	LAUNCH	5560.88	6
8544	WORMS	5560.88	5
8547	FASTEN	5556.92	6
8552	VALOR	5549.01	5
8555	DRUG	5546.64	4
8557	GAUNT	5544.27	5
8562	ROSA	5538.73	4
8563	NINA	5537.94	4
8564	QUART	5537.94	5
8566	CANDY	5531.61	5
8571	OPIUM	5520.53	5
8573	STRAIT	5518.16	6
8575	CORDS	5512.62	5
8576	ODOUR	5512.62	5
8577	TROUT	5510.25	5
8578	PASTE	5509.46	5
8581	SCRAP	5496.8	5
8585	CELTIC	5490.47	6
8587	PIRATE	5486.51	6
8588	FIEND	5484.93	5
8589	MOAN	5484.93	4
8591	TRADES	5483.35	6
8592	ROUNDS	5481.77	6
8594	CRAWL	5477.81	5
8597	ROLE	5473.86	4
8598	DOSE	5471.48	4
8599	EVANS	5471.48	5
8602	SALMON	5468.32	6
8603	SNAP	5468.32	4
8604	ALMA	5465.94	4
8606	TIRE	5463.57	4
8607	HETTY	5462.78	5
8609	GEESE	5461.99	5
8610	MADLY	5460.41	5
8615	LOCKE	5458.82	5
8617	DEALS	5458.03	5
8618	CORE	5456.45	4
8621	DURST	5448.54	5
8625	WERT	5446.17	4
8629	PUMP	5439.05	4
8632	REIGNS	5433.51	6
8634	REAP	5431.13	4
8639	OXYGEN	5427.18	6
8641	DARES	5426.39	5
8644	FRINGE	5423.22	6
8649	FEAT	5418.48	4
8651	SULTAN	5416.89	6
8654	HERESY	5413.73	6
8655	ARABIA	5410.56	6
8656	MEDAL	5409.77	5
8658	ETHER	5404.24	5
8659	RUBY	5401.86	4
8661	SUBDUE	5394.74	6
8662	ADORN	5391.58	5
