Rank	Word	Frequency	Length
399	REST	211668	4
400	MEAN	211299	4
402	MAKING	210031	6
404	FELL	208344	4
406	HUMAN	206740	5
407	KEPT	206329	4
408	SHORT	206216	5
409	TOWN	205687	4
411	NEED	204955	4
412	CAUSE	204686	5
416	FIVE	201451	4
417	STRONG	200224	6
418	ABLE	200145	4
419	FRENCH	199969	6
420	LIVE	199658	4
421	LADY	199560	4
424	ANSWER	198187	6
426	FEAR	196739	4
428	HARD	196458	4
429	TERMS	196252	5
430	DOUBT	195905	5
431	AROUND	195594	6
433	ARMS	194298	4
434	TURN	192763	4
435	SENSE	192719	5
436	SEEMS	192229	5
437	BLACK	191272	5
438	BRING	191148	5
441	CLOSE	188915	5
442	DARK	188316	4
443	HOLD	186609	4
445	SORT	186136	4
446	SIGHT	185862	5
448	SHOW	184074	4
449	PARTY	184068	5
450	FINE	183059	4
452	READY	181866	5
453	STORY	180998	5
454	COMMON	180061	6
455	BOOK	179739	4
457	TALK	178877	4
459	MARK	178084	4
462	CAN'T	176728	5
466	ELSE	175980	4
467	FORCE	175520	5
468	IDEA	174236	4
469	LONGER	173897	6
471	SPOKE	172990	5
472	ACROSS	172901	6
474	EARLY	172467	5
475	OUGHT	171690	5
477	LINE	170962	4
478	SAYING	170695	6
479	TABLE	170143	5
481	RIVER	169470	5
487	LATER	167805	5
491	PAST	164703	4
492	HOURS	164326	5
494	DEEP	163819	4
495	CHANGE	163514	6
496	MILES	163341	5
499	MEET	162687	4
500	PAID	162605	4
503	HAPPY	162105	5
504	ADDED	161953	5
505	SEEM	161549	4
506	TAKING	160626	6
507	BLOOD	160547	5
508	ROSE	159794	4
509	SOUTH	158664	5
510	BEYOND	158344	6
511	COLD	158204	4
514	VIEW	157416	4
515	I'VE	157210	4
517	SOUND	156616	5
518	NONE	155743	4
520	CLEAR	155472	5
521	ROAD	154977	4
522	LATE	154840	4
523	STAND	154582	5
527	REAL	154046	4
528	NEARLY	154001	6
529	MINE	153940	4
530	LAWS	153830	4
532	COMES	153299	5
533	TOWARD	152972	6
536	COPY	151661	4
539	FRANCE	151108	6
540	LIVING	151043	6
541	PEACE	150281	5
542	DIDN'T	149696	6
544	NORTH	149601	5
546	EFFECT	148795	6
548	PRETTY	148124	6
549	FALL	147435	4
550	FAIR	147401	4
552	BELOW	146062	5
553	EXCEPT	145998	6
555	HAIR	145817	4
556	LONDON	145606	6
557	LAID	145490	4
558	PASS	145440	4
561	DOING	145131	5
562	ARMY	144925	4
564	HORSE	144022	5
565	FUTURE	143658	6
566	OPENED	143625	6
569	WEST	141745	4
574	HATH	141246	4
575	NOTE	140679	4
577	WANTED	140608	6
578	GOLD	139711	4
579	MAKES	139167	5
580	DESIRE	138288	6
581	PLAY	138228	4
582	MASTER	137871	6
583	OFFICE	136616	6
584	TRIED	136507	5
585	FRONT	136296	5
588	LIVED	135512	5
590	WIND	134689	4
594	UNTO	134048	4
595	CHURCH	133975	6
597	LENGTH	133663	6
599	PLACED	133084	6
600	PAPER	133030	5
603	GLAD	132368	4
608	FELLOW	131509	6
609	BEAR	131397	4
611	WINDOW	130590	6
613	FAITH	130376	5
616	CHARGE	129644	6
617	BEAUTY	129586	6
618	LIPS	129473	4
621	LATTER	129276	6
622	DUTY	129116	4
623	SEND	129075	4
626	FOOT	128053	4
627	WILD	127758	4
628	OBJECT	127468	6
630	SAVE	126799	4
632	TREES	126469	5
633	GREEN	126431	5
635	SMILE	125830	5
636	BOOKS	125827	5
637	WRONG	125401	5
639	SLEEP	124634	5
644	DREW	122264	4
646	HARDLY	121603	6
647	WALKED	121276	6
648	CHIEF	121207	5
649	CHANCE	120739	6
652	ACTION	120590	6
653	DEAL	120186	4
654	LOVED	120145	5
655	VISIT	119807	5
657	FOLLOW	119666	6
659	KNOWS	119114	5
662	HEAVY	118834	5
663	SWEET	118754	5
664	PLAIN	118641	5
667	WROTE	118114	5
668	MOUTH	117921	5
669	RICH	117386	4
671	MONTHS	116955	6
673	WON'T	116568	5
674	AFRAID	116467	6
675	PARIS	116402	5
676	SINGLE	115905	6
678	ENEMY	115195	5
679	BROKEN	115006	6
680	UNLESS	114054	6
681	STATES	113807	6
682	SHIP	113611	4
684	CARRY	113357	5
687	FILLED	112921	6
688	SEEING	112889	6
690	WRITE	112285	5
691	BOYS	112125	4
692	APPEAR	112044	6
694	SECRET	111678	6
695	PARTS	111194	5
696	PLEASE	111114	6
698	EVIL	110898	4
699	MARCH	110834	5
700	GEORGE	110754	6
702	SLOWLY	110500	6
703	TEARS	110314	5
704	HORSES	110296	6
705	PLACES	110250	6
706	CAUGHT	110061	6
707	STAY	109894	4
709	STRUCK	109662	6
710	BLUE	109449	4
711	YORK	109354	4
713	PERIOD	109160	6
714	SISTER	108983	6
715	BATTLE	108781	6
716	SCHOOL	108701	6
717	MARY	108633	4
718	RAISED	108580	6
721	MAN'S	108346	5
722	FORMER	108299	6
723	FOOD	108140	4
724	YOUTH	108097	5
726	MERELY	108034	6
727	REACH	107787	5
728	SYSTEM	107496	6
729	TWENTY	107475	6
730	DINNER	107414	6
731	QUIET	107167	5
732	EASILY	107012	6
733	MOVED	106996	5
735	GIVING	106981	6
736	WALK	106858	4
741	WEEK	106184	4
742	HALL	106108	4
743	DANGER	105775	6
745	WONDER	105588	6
746	USUAL	105412	5
747	FIGURE	105403	6
748	BORN	104938	4
749	COURT	104606	5
751	GREW	104326	4
752	SHOWED	104205	6
756	THIRD	103468	5
757	WORTH	103346	5
758	SIMPLE	102885	6
759	TREE	102872	4
761	REMAIN	102801	6
763	FIGHT	102206	5
764	WALL	102124	4
765	RESULT	102039	6
766	HEAVEN	101875	6
770	TONE	101569	4
771	REGARD	101139	6
773	MERE	101061	4
774	MONTH	101037	5
775	BESIDE	100710	6
776	SILENT	100695	6
779	STREET	100499	6
781	GOES	100235	4
784	FRESH	99654.4	5
785	DUKE	99561.9	4
787	BOUND	99304.7	5
788	EAST	99220.9	4
789	WOOD	99157.6	4
790	STONE	99073.7	5
792	NOTICE	98872	6
793	BRIGHT	98773.9	6
794	CHRIST	98758.1	6
795	BOAT	98756.5	4
796	NOBLE	98714.6	5
797	MEANT	98705.1	5
799	SUDDEN	98497.8	6
800	VALUE	98232.8	5
803	CHAIR	97567.4	5
807	DATE	96908.4	4
811	LIVES	96547.6	5
813	AGREE	96413.9	5
814	LINES	96198	5
816	FIELD	96170.3	5
819	WISHED	95538.2	6
820	WAIT	95523.9	4
824	PIECE	95303.2	5
828	FORMED	94978	6
830	TRYING	94706.7	6
832	PROPER	94480.4	6
833	HILL	94379.1	4
834	MUSIC	94284.2	5
836	THAT'S	93912.4	6
837	GERMAN	93866.5	6
840	COST	93470.1	4
842	GIRLS	93384.7	5
845	BROKE	92800.8	5
846	HONOUR	92446.4	6
847	SEVEN	92292.1	5
850	NEWS	92204.3	4
852	SCENE	91985.2	5
855	STEP	91592	4
856	GARDEN	91392.6	6
857	RACE	91305.6	4
858	BEGIN	91207.5	5
862	LEARN	90513.7	5
866	SPEECH	90319	6
867	HENRY	90034.2	5
869	CAST	89723.3	4
872	ETC.	89480.4	4
873	FLOOR	89151.3	5
875	WAYS	88381.5	4
882	SUMMER	87793.7	6
884	STUDY	87538.2	5
887	WALLS	87300.1	5
890	WATCH	87073.8	5
892	LEAVES	86702	6
896	EFFORT	86256.6	6
898	ESCAPE	86157.7	6
901	KILLED	86020	6
902	FAST	86008.1	4
903	AUTHOR	85992.3	6
904	INDIAN	85940.9	6
905	BROWN	85875.2	5
907	PAIN	85833.3	4
908	SPRING	85777.9	6
909	TAKES	85761.3	5
910	DRAWN	85701.2	5
912	HOUSES	85488.4	6
917	STEPS	84796.1	5
919	SOFT	84783.5	4
922	LIKELY	84636.3	6
923	CORNER	84584.1	6
926	SIMPLY	84365	6
928	TRUST	84298.5	5
930	ROME	84141.1	4
931	LAUGH	84072.2	5
932	FORGET	84004.2	6
933	EUROPE	83940.9	6
935	EIGHT	83853.9	5
936	CLOSED	83814.3	6
938	GIVES	83639.5	5
939	DRESS	83486	5
943	MEDIUM	83151.4	6
945	SAKE	83124.5	4
946	BREATH	83075.4	6
947	WISE	83039	4
948	LADIES	82918	6
953	MEMORY	82725.7	6
955	GRAVE	82623.7	5
956	FIXED	82566.7	5
957	MODERN	82562	6
958	SPOT	82338.9	4
959	TROOPS	82223.4	6
960	RISE	82126.8	4
961	BREAK	82118.1	5
962	FIFTY	82035.1	5
963	ISLAND	81974.9	6
965	CAMP	81899.8	4
966	NATION	81890.3	6
968	REPLY	81671.1	5
970	COPIES	81479.7	6
972	TOUCH	81396.6	5
973	EQUAL	81392.7	5
976	SHORE	81109.4	5
977	DOMAIN	81056.4	6
978	NAMED	80756.6	5
980	LOOKS	80463.1	5
982	ORDERS	80294.6	6
983	DEGREE	80293.8	6
984	MIDDLE	80239.2	6
985	WINTER	80239.2	6
986	PLAN	80069.9	4
987	SPENT	80046.2	5
988	ALLOW	79876.1	5
989	PALE	79860.2	4
994	MINUTE	79605.5	6
995	ROMAN	79482.1	5
996	CASES	79432.2	5
997	SHOT	79425.1	4
998	LEAD	79418.8	4
999	MOVE	79376.1	4
1000	NAMES	79366.6	5
1001	STOP	79301.7	4
1002	HIGHER	79280.3	6
1005	THREW	79179.1	5
1006	WORSE	79163.2	5
1007	BUILT	79110.2	5
1008	SPOKEN	79085.7	6
1009	GLASS	79053.3	5
1010	BOARD	78858.7	5
1011	VAIN	78809.6	4
1014	SAFE	78317.5	4
1015	LOSS	78305.7	4
1016	DOCTOR	78281.9	6
1017	OFFER	78246.3	5
1018	CLASS	78173.5	5
1020	ACCESS	77716.3	6
1021	LOWER	77368.2	5
1024	FORMS	77286.7	5
1027	WARM	77220.2	4
1028	DRINK	77183.8	5
1030	ONES	76976.6	4
1033	EARS	76672	4
1035	START	76592.9	5
1036	LYING	76560.4	5
1037	SMILED	76547.8	6
1039	SPITE	76495.5	5
1040	SHOWN	76402.2	5
1042	JAMES	76067.5	5
1043	HART	76059.6	4
1047	SILVER	75859.5	6
1049	MAIN	75850	4
1052	PRIDE	75429.9	5
1053	CROWD	75422	5
1054	TRAIN	75404.6	5
1056	MORAL	75253.5	5
1059	PATH	75150.6	4
1060	GREEK	75128.5	5
1065	HE'S	74505	4
1066	PROVED	74438.6	6
1068	ENTER	74391.9	5
1069	RULE	74378.5	4
1070	SWORD	74342.9	5
1071	ATTACK	74293	6
1072	SEAT	74266.1	4
1073	GAME	74220.2	4
1074	HEALTH	74210.7	6
1077	SOCIAL	74035.9	6
1078	REFUND	73914.1	6
1079	SORRY	73906.2	5
1082	GRACE	73826.3	5
1084	DREAM	73726.6	5
1085	WORTHY	73622.1	6
1086	ROCK	73581.8	4
1087	JACK	73527.2	4
1090	SHOOK	73338.9	5
1092	MIGHTY	73313.6	6
1093	GLANCE	73302.5	6
1094	HEADS	73281.2	5
1097	SHARE	73182.3	5
1098	EXPECT	73178.3	6
1101	SPREAD	72890.3	6
1103	GLORY	72644.3	5
1104	TWELVE	72570.7	6
1105	SPACE	72550.2	5
1107	PETER	72509	5
1108	WINE	72450.5	4
1111	TASTE	72268.5	5
1112	IRON	72252.7	4
1113	ISN'T	72166.5	5
1115	TRADE	72098.4	5
1119	FORCED	71884.8	6
1121	IDEAS	71849.2	5
1123	USING	71751.9	5
1125	RATE	71688.6	4
1127	SIGN	71582.6	4
1129	NATIVE	71399.1	6
1131	JUDGE	71190.2	5
1135	MARRY	70948.9	5
1138	EXTENT	70649.8	6
1143	METHOD	70513	6
1146	MARKED	70264.6	6
1148	JESUS	70228.2	5
1152	BILL	69973.4	4
1153	VAST	69861.1	4
1154	PROVE	69854	5
1155	FANCY	69771.7	5
1156	QUICK	69761.4	5
1158	SOUGHT	69666.5	6
1160	NECK	69634.8	4
1161	HEARTS	69628.5	6
1164	SIDES	69594.5	5
1165	LEGAL	69532.8	5
1168	SERVE	69414.9	5
1169	ASIDE	69368.2	5
1170	PURE	69287.5	4
1173	LOSE	69115.8	4
1174	POWERS	69073.1	6
1176	THROWN	68931.5	6
1182	NARROW	68505.9	6
1185	PAGE	68234.5	4
1188	WEEKS	67942.6	5
1192	SEARCH	67660.2	6
1195	LIES	67551	4
1196	PROUD	67492.4	5
1197	PIECES	67423.6	6
1199	PRICE	67277.2	5
1200	SHIPS	67259	5
1201	THIRTY	67229	6
1202	SICK	67152.2	4
1203	HONEST	67088.2	6
1204	SHUT	67063.6	4
1205	TALKED	66998	6
1206	BANK	66981.4	4
1207	FATE	66946.5	4
1211	KING'S	66590.5	6
1212	ACCEPT	66498.8	6
1213	HILLS	66475.8	5
1215	FOREST	66263	6
1218	SEEK	66141.2	4
1221	STREAM	66003.5	6
1222	HONOR	65994	5
1226	BREAD	65708.4	5
1227	BOTTOM	65645.1	6
1234	CHOOSE	65396.7	6
1235	AGREED	65284.4	6
1236	ANIMAL	65255.1	6
1237	EVENTS	65118.2	6
1239	FULLY	64982.2	5
1241	RIGHTS	64836.6	6
1242	AMOUNT	64720.3	6
1243	OBTAIN	64706.1	6
1246	SONS	64592.9	4
1247	CROSS	64403.8	5
1249	THICK	64364.3	5
1250	POINTS	64311.3	6
1252	WOODS	64227.4	5
